,tweet
87,RT @KeepsamM: چیف جسٹس عمر عطا دلال صاحب تم تحمل کھٹمل کا مظاہرہ مت کرو ایک جے آئی ٹی بنواؤں جس میں تمھارے ساتھیوں کے کرتوت سامنے آئے ہیں و…
88,RT @KeepsamM: چیف جسٹس عمر عطا دلال صاحب تم تحمل کھٹمل کا مظاہرہ مت کرو ایک جے آئی ٹی بنواؤں جس میں تمھارے ساتھیوں کے کرتوت سامنے آئے ہیں و…
89,RT @KeepsamM: چیف جسٹس عمر عطا دلال صاحب تم تحمل کھٹمل کا مظاہرہ مت کرو ایک جے آئی ٹی بنواؤں جس میں تمھارے ساتھیوں کے کرتوت سامنے آئے ہیں و…
90,چیف جسٹس عمر عطا دلال صاحب تم تحمل کھٹمل کا مظاہرہ مت کرو ایک جے آئی ٹی بنواؤں جس میں تمھارے ساتھیوں کے کرتوت سامنے آئے ہیں وہ تحقیقات کریں جس طرح نواز شریف کے لیے جے آئی ٹی تم دلوں نے بنائی تھی اب تحمل گیا تیل لینے مادر چو۔۔۔ اترو کرسیوں سے نیچے ضمیر فروشوں قلم فروشوں 😍😍
91,RT @wi1d_soul: کھٹمل ہو اور پین یہکی نہ کرے یہ ہو نہیں سکتا ۔
92,کھٹمل ہو اور پین یہکی نہ کرے یہ ہو نہیں سکتا ۔ https://t.co/RoFpwEh494
93,"@RealWaqarMaliks شرپسند صحافی ستر کی دہائی سےپاکستانی جمہوری حکومتوں کی مخالفت میں رائےعامہ پر اثرانداز ہوتےہوتےآج کھٹمل بن چکےہیں

سہیل مولو-مصلی وڑائچ وغیرہ کو پتہ ہےکہ کب تک کالی بھیڑیں ن-لیگ کی پارٹی جاری رکھیں گی

نبازشریف کی بجائےرب کی عدالت کےخوف والےآئیں گےتو کالم آئےگا ""دی پارٹی از اوور"""
94,کھٹمل ہے مادر چود آصف زرداری کا بھڑوا۔۔ https://t.co/clr0M7cYcc
95,@DrJalaliTLY مجہے تو کہٹمل لگ رھیںھیں قاتل
96,@SyedKazimBukha @SHABAZGIL کھٹمل
97,@PakVocals یہ دالہ تو کھٹمل شیعہ نسل ہے جو کبھی زاکر علاموں پر تحریر نہیں کرتا
98,"کھٹمل اور قادیانی ہی پی ٹی آئ کی سپورٹ کے پیچھے کیوں نکلتے ہیں؟

اور ڈوب مرو نواز شریف اور شہباز شریف۔ 
انہی کھٹملوں کی حمایت میں تم لوگوں نے کتنے سنیوں کو ماوراۓ عدالت قتل کیا۔ https://t.co/AOwjDcceBr"
99,@iqrarulhassan تجھے کیا تکلیف ہے کھٹمل
